month,monthly_transaction_volume,monthly_customer_volume,cognito_cost
2024-09,818909562.2450244,7188191.0,8824.735711
2024-10,5089464659.019446,7887581.0,8858.4717665
2024-11,5446633860.716984,8553226.0,17416.78079501
2024-12,6191481527.930499,9084436.0,29654.8795565
2025-01,4682421360.624512,9362389.0,28621.211459
2025-02,4423223405.486132,9595141.0,28134.168123
2025-03,5645852276.460623,9957888.0,28890.742505
2025-04,5847216931.735168,10278372.0,29196.3463055
2025-05,6238549933.608242,10556163.0,30271.9381576408
2025-06,6583872933.540321,10852375.0,40250.2296993091
2025-07,6925267435.376637,11188204.0,15906.687708
2025-08,7266427623.428679,12269759.0,18654.115042
2025-09,6060914866.811809,12599674.0,
